 10  15
  1   0     3
 10   0     5
 11   0     7
  7   1     3
 13   1     6
  4   1     8
  6   2     4
  3   2     6
 14   2     8
 12   3     4
  5   4     5
 15   5     9
  8   6     7
  2   7     9
  9   8     9

 12  16
 10   0     4
 14   0     6
  6   0     8
  5   1     2
  9   1     6
 12   2     5
 18   3     5
  3   3     7
  8   3     9
  2   4     5
 16   4    11
  4   6    11
 13   7     9
 11   7    11
  7   8    10
  1   9    10

 14  18
  4   0    10
 17   0    11
  9   0    12
  7   1     7
 10   1    10
 13   2     3
  5   2    13
  6   3     4
 19   4     6
 11   4     8
 20   5     9
  3   5    11
 14   6     7
  2   6     8
 21   7    13
 15   8    12
  1   9    12
 12   9    13

 16  24
  6   0     1
 12   0    14
 23   0    15
 11   1     7
 17   1     8
  4   2     9
 13   2    13
 21   2    14
 15   3     4
 19   3     5
  8   3    12
  3   4     5
 18   4     9
 16   5     9
 10   6     8
 22   6    10
  1   6    13
  5   7    11
 24   7    13
  2   8    14
 14  10    12
  7  10    15
 20  11    12
  9  11    15

 18  24
 13   0     4
  1   0     9
 19   1     5
  5   1    17
 27   2     8
  2   2    10
 17   2    13
 25   3     6
 16   3    10
  6   3    15
  4   4    13
 11   5    11
  8   5    12
  7   6     7
 18   6    14
 12   7     9
 20   7    15
 14   8    12
  9   8    16
 21   9    10
  3  11    14
 26  12    13
 15  15    16
 23  16    17

 20  27
 14   0    13
  1   0    19
  5   1     2
 28   1     7
 13   1    12
 26   2    11
 15   2    16
 19   3     5
  2   3     6
 10   4     8
 29   4    12
 24   5    10
  3   5    17
 17   6    19
 16   7    11
  8   7    14
 21   8    13
  6   9    12
 18   9    15
 30   9    16
 12  10    17
  4  10    18
  9  11    13
 22  14    15
 11  14    18
  7  15    16
 27  17    18

