 10  28
  1   0     3
 30   0     4
 10   0     5
 11   0     7
 24   0     9
  7   1     3
 13   1     6
  4   1     8
 42   1     9
 43   2     3
  6   2     4
 33   2     5
  3   2     6
 14   2     8
 16   2     9
 12   3     4
 29   3     5
 18   3     6
 32   3     7
  5   4     5
 35   4     6
 17   4     7
 44   4     8
 21   5     6
 15   5     9
  8   6     7
  2   7     9
  9   8     9

 12  44
  8   0     1
 54   0     2
  2   0     4
 61   0     7
 38   0     8
 15   0     9
 26   0    11
 57   1     2
 62   1     3
 17   1     4
 45   1     5
  1   1     6
 22   1     9
  9   2     3
 48   2     4
 29   2     5
 18   2     6
  4   2     9
 70   3     4
 60   3     6
  6   3     8
 32   3     9
 27   3    10
 16   3    11
 10   4     7
 59   4     8
 63   4     9
 51   4    11
 24   5     6
 13   5     7
 12   5     8
  3   5    10
 65   5    11
  7   6     9
 34   6    10
 36   7     8
 23   7    10
  5   7    11
 25   8     9
 14   8    10
 19   8    11
 40   9    10
 71   9    11
 11  10    11

 14  62
 66   0     1
  2   0     2
 26   0     3
 13   0     5
 30   0     7
 44   0     9
 75   0    10
 84   0    12
 40   1     3
 10   1     4
 21   1     5
  5   1     8
 53   1    10
 29   1    11
 74   1    13
 59   2     4
 34   2     5
 11   2     6
 64   2     8
 92   2    10
 23   2    13
 90   3     4
 47   3     5
 69   3     6
 31   3     8
  3   3     9
 57   3    11
 17   3    12
 82   4     5
  1   4     6
 19   4     9
 32   4    10
 76   4    11
 51   4    12
 50   5     6
  7   5     7
 28   5     8
 71   5     9
 70   5    12
 83   6     7
 20   6     8
 22   6    10
 41   6    11
 35   6    12
 88   7     8
 58   7     9
 16   7    10
 12   7    11
 49   7    12
 68   7    13
 14   8    10
 79   8    11
 60   8    13
 80   9    10
 65   9    11
 25   9    12
 33   9    13
 36  10    12
  4  10    13
  6  11    12
 18  11    13
  8  12    13

 16  77
 28   0     1
 11   0     4
 59   0     5
 51   0     7
 46   0     8
 36   0    10
  5   0    11
 88   0    12
 18   0    13
 70   1     2
 37   1     3
 17   1     4
 82   1     7
  8   1     8
 80   1     9
126   1    10
 50   1    11
101   1    13
 13   1    15
127   2     4
 42   2     6
103   2     8
 15   2    12
 87   2    13
  2   2    14
 40   2    15
 69   3     5
128   3     6
117   3     7
 23   3     8
 25   3     9
 75   3    10
 16   3    11
  1   3    13
 61   3    14
 84   4     5
  4   4     6
 52   4     8
 45   4     9
111   4    10
 30   4    11
 76   4    13
 95   4    14
118   4    15
 32   5     6
  3   5    12
  9   5    13
 19   5    14
122   5    15
 74   6     7
 91   6     8
 22   6     9
 10   6    10
 86   6    11
 98   6    12
 12   7     8
  6   7     9
 43   7    10
 20   7    11
 26   7    13
 33   7    14
 67   8     9
 27   8    10
 34   8    11
123   8    13
 79   8    15
 38   9    12
 14   9    14
  7  10    15
 72  11    12
115  11    13
 99  11    15
106  12    13
 47  12    14
 31  12    15
 58  13    15
 65  14    15

 18 101
 99   0     1
 58   0     2
 67   0     3
 45   0     4
156   0     5
 75   0     6
  3   0     8
141   0    10
 35   0    11
 10   0    13
103   0    14
 23   0    15
127   0    16
115   0    17
134   1     2
150   1     4
 72   1     6
 19   1     7
 14   1     8
  1   1    10
 30   1    12
 62   1    13
 40   1    14
107   1    15
155   1    16
 49   2     4
 26   2     5
101   2     6
152   2     8
 68   2     9
 17   2    10
 41   2    12
  6   2    13
 29   2    14
 96   2    16
 79   3     4
133   3     5
  8   3     7
 25   3     9
 53   3    12
109   3    13
 94   3    14
 13   3    16
 37   3    17
 63   4     6
159   4     8
102   4     9
 31   4    10
 12   4    11
 22   4    13
  9   4    14
 71   4    16
 38   5     6
108   5     7
 78   5     9
111   5    10
  7   5    12
 32   5    13
 46   5    15
125   6    10
 24   6    12
 92   6    13
  2   6    15
 18   6    17
 36   7     8
 16   7     9
 60   7    10
 42   7    11
 80   7    12
 70   7    13
113   7    15
 95   7    17
 97   8    10
 59   8    11
 27   8    14
 85   8    15
 43   8    16
 65   8    17
  5   9    11
160   9    13
 50   9    14
 44   9    15
 61   9    16
100  10    12
 39  10    13
 64  10    14
 86  10    16
 20  10    17
 66  11    12
153  11    14
 73  11    15
 21  11    16
114  12    16
128  13    15
 74  13    16
 88  13    17
 11  14    15
142  14    16
 34  15    16
123  15    17
  4  16    17

 20 123
123   0     1
197   0     3
 55   0     5
 31   0     6
190   0     7
 27   0     8
 14   0     9
  1   0    11
164   0    12
 45   0    14
118   0    16
147   0    17
  7   1     2
112   1     3
101   1     4
 61   1     6
 29   1     7
 79   1     8
 16   1    10
 35   1    13
 42   1    15
195   1    16
180   1    19
135   2     6
 39   2    12
 28   2    13
114   2    14
186   2    15
 20   2    16
 41   2    17
 70   2    19
 67   3     4
 49   3     8
107   3     9
 40   3    10
 93   3    11
 25   3    12
 75   3    13
  3   3    14
 19   3    15
 81   3    19
 46   4     5
 11   4     7
 10   4     8
132   4    11
 52   4    12
130   4    14
 22   4    15
181   4    16
157   4    17
 36   4    18
 78   5     7
141   5     9
  2   5    10
129   5    12
162   5    13
174   5    14
 33   5    15
 21   5    16
 91   5    17
 13   5    19
110   6     7
 89   6     9
 48   6    10
148   6    11
198   6    12
 17   6    14
  5   6    15
126   6    17
 23   6    18
 53   6    19
156   7     8
 43   7     9
 62   7    10
170   7    11
  9   7    13
 37   7    16
173   7    18
124   7    19
 32   8     9
200   8    10
 68   8    15
149   8    16
163   8    17
 15   8    18
117   8    19
125   9    13
188   9    14
196   9    15
  8   9    16
 24   9    17
169   9    19
 54  10    13
 30  10    14
 80  10    15
140  10    16
111  10    18
158  11    12
 65  11    14
103  11    15
 44  11    16
 18  11    17
191  11    18
 26  11    19
 12  12    13
136  12    14
 92  12    16
 69  12    18
  6  12    19
106  13    14
 86  13    15
 64  13    17
 47  13    18
 51  14    16
 38  14    17
143  14    18
193  14    19
168  15    16
