 10  39
  5   0     1
  8   0     2
  1   0     3
  4   0     4
  2   0     5
  7   0     6
  1   0     7
  5   0     8
  5   1     2
  6   1     3
  3   1     4
  1   1     5
  2   1     6
  4   1     8
  2   1     9
  2   2     3
  2   2     4
  7   2     5
  1   2     6
  4   2     7
  1   2     8
  4   2     9
  2   3     4
  5   3     5
  4   3     6
  1   3     7
  7   3     8
  1   4     5
  4   4     6
  5   4     7
  5   5     6
  2   5     8
  3   5     9
  2   6     7
  8   6     8
  1   6     9
  6   7     8
  2   7     9
  1   8     9

 12  54
  6   0     2
  3   0     3
  1   0     5
  4   0     6
  3   0     7
  1   0     8
  7   0     9
  2   0    10
  2   0    11
  1   1     2
  2   1     3
  3   1     5
  3   1     6
  1   1     8
  5   1    10
  6   1    11
  2   2     3
  6   2     4
  1   2     5
  4   2     6
  3   2     9
  4   2    10
  3   2    11
  3   3     4
  6   3     5
  1   3     6
  5   3     7
  1   3     9
  6   3    10
  5   3    11
  1   4     6
  3   4     7
  5   4     8
  1   4     9
  2   4    11
  3   5     6
  2   5     7
  2   5     8
  4   5     9
  8   5    10
  7   5    11
  2   6     7
  2   6     8
  7   6     9
  6   6    11
  6   7     8
  4   7     9
  1   7    10
  1   7    11
  5   8     9
  3   8    10
  3   8    11
  2   9    10
  1  10    11

 14  69
  4   0     1
  2   0     2
  6   0     3
  1   0     4
  4   0     5
  2   0     8
  8   0     9
  3   0    11
  1   0    12
  7   1     3
  2   1     4
  6   1     5
  2   1     6
  8   1     7
  1   1     8
  3   1    10
  6   1    12
  1   1    13
  4   2     3
  3   2     5
  5   2     6
  1   2     7
  2   2     8
  3   2     9
  6   2    10
  4   2    13
  2   3     4
  1   3     6
  6   3     7
  7   3     8
  1   3     9
  8   3    11
  3   3    12
  4   3    13
  1   4     5
  8   4     6
  3   4     7
  4   4     9
  5   4    10
  6   4    11
  3   4    13
  4   5     6
  2   5     7
  7   5     8
  3   5     9
  2   5    11
  1   5    12
  7   6     7
  6   6     8
  4   6    10
  1   6    11
  8   6    12
